register,folio_sort_key,folio_label,zone_temp_id,action,target_zone_temp_id,value,note
JJ097,337,168r,1421,suit_zone,1465,,"Fin d’acte (zone 1421), avec signe de renvoi, à rattacher à début d’acte (zone 1465)"
JJ097,317,158r,1421,changer_classe,,AF,"Fin d’acte, avec signe de renvoi, annoté à tort en AC au lieu de AF."
JJ098,140,62v,1863,changer_classe,,AI,Début d’acte
JJ098,196,90v,1994,changer_classe,,AC,"Début d’acte, fin non reproduite. A traiter comme AC"
JJ098,197,92r,1995,changer_classe,,AC,"Fin d’acte, début non reproduit. A traiter comme AC"
JJ098,245,116r,2095,suit_zone,1863,,
JJ106,120,59v,8434,suit_zone,8435,,
JJ101,85,42r,5114,changer_classe,,AC,"La copie est incomplète, mais zone blanche sur la page d’après montre l’absence de lacune. Fonctionne comme AC"
JJ102,31,15r,5353,exclure_zone,,,"L’acte attesté par zone 5353 = AI est achevé à la page d’après par une zone AF, mais NIA"
JJ102,248,123v,5826,exclure_zone,,,NIA interrompt
JJ107,135,67r,9240,exclure_zone,,,NIA interrompt
JJ107,136,67v,9241,changer_classe,,AC,"Fin d’acte, début non reproduit. A traiter comme AC"
JJ113,365,contre-plat inférieur,13966,exclure_zone,,,NIA interrompt
JJ116,12,5v,15294,exclure_zone,,,NIA interrompt
JJ116,14,6v,15295,changer_classe,,AC,"Fin d’acte, début non reproduit. A traiter comme AC"
JJ119,196,97v,17572,changer_classe,,AC,"Fin d’acte, début non reproduit. A traiter comme AC"
JJ120,29v,60,18239,changer_classe,,AC,"Début d’acte cancelé, fonctionne comme AC"
JJ122,244,122v,19905,exclure_zone,,,NIA interrompt une suite AI...AF
JJ122,246,123v,19906,changer_classe,,AC,"Fin d’acte, début non reproduit. A traiter comme AC"
JJ122,132v,264,19934,changer_classe,,AC,"Fin d’acte, début non reproduit. A traiter comme AC"
JJ122,357,179r,20114,exclure_zone,,,AI prend suite de AI. De fait.
JJ128,346,168v,23608,changer_classe,,AC,"Début d’acte cancelé, fonctionne comme AC"
JJ131,139,65r,24897,suit_zone,24810,,AF prend suite de AI plus haut
JJ133,238,114v,26163,changer_classe,,AC,"AI inachevé, suite non identifiée, fonctionne comme AC"
JJ135,18,4v,26518,exclure_zone,,,NIA interrompt une suite AI...AF
